X, Y
-0.950000000000 0.104661925676
-0.850000000000 0.310779721313
-0.750000000000 0.507158200176
-0.650000000000 0.686374803848
-0.550000000000 0.838604332071
-0.450000000000 0.950113597290
-0.350000000000 0.999955046367
-0.250000000000 0.945568906405
-0.150000000000 0.749405072458
-0.050000000000 0.303457184973
0.050000000000 -0.303457184973
0.150000000000 -0.749405072458
0.250000000000 -0.945568906405
0.350000000000 -0.999955046367
0.450000000000 -0.950113597290
0.550000000000 -0.838604332071
0.650000000000 -0.686374803848
0.750000000000 -0.507158200176
0.850000000000 -0.310779721313
0.950000000000 -0.104661925676
