X, U0, U1,U2
0.818750 -0.372792 0.002071 0.000001
0.831250 -0.347855 0.002085 0.000000
0.843750 -0.322749 0.002099 0.000000
0.856250 -0.297488 0.002111 0.000000
0.868750 -0.272086 0.002122 0.000000
0.881250 -0.246555 0.002133 0.000000
0.893750 -0.220909 0.002142 0.000000
0.906250 -0.195160 0.002150 0.000000
0.918750 -0.169320 0.002157 0.000000
0.931250 -0.143402 0.002163 0.000000
0.943750 -0.117419 0.002168 0.000000
0.956250 -0.091381 0.002172 0.000000
0.968750 -0.065302 0.002175 0.000000
0.981250 -0.039193 0.002177 0.000000
0.993750 -0.013066 0.002178 0.000000
